date,gold_cost_rub
2018-09-20,2591.76
2018-09-21,2570.98
2018-09-22,2572.16
2018-09-23,2572.16
2018-09-24,2572.16
2018-09-25,2549.83
2018-09-26,2538.4
2018-09-27,2534.48
2018-09-28,2531.52
2018-09-29,2495.75
2018-09-30,2495.75
2018-10-01,2495.75
2018-10-02,2498.93
2018-10-03,2500.91
2018-10-04,2531.49
2018-10-05,2553.33
2018-10-06,2572.88
2018-10-07,2572.88
2018-10-08,2572.88
2018-10-09,2572.51
2018-10-10,2534.99
2018-10-11,2524.47
2018-10-12,2578.51
2018-10-13,2585.15
2018-10-14,2585.15
2018-10-15,2585.15
2018-10-16,2606.48
2018-10-17,2589.01
2018-10-18,2579.54
2018-10-19,2587.66
2018-10-20,2598.94
2018-10-21,2598.94
2018-10-22,2598.94
2018-10-23,2567.66
2018-10-24,2594.47
2018-10-25,2598.84
2018-10-26,2604.56
2018-10-27,2608.31
2018-10-28,2608.31
2018-10-29,2608.31
2018-10-30,2604.18
2018-10-31,2579.92
2018-11-01,2568.09
2018-11-02,2581.97
2018-11-03,2604.98
2018-11-04,2604.98
2018-11-05,2604.98
2018-11-06,2604.98
2018-11-07,2619.94
2018-11-08,2624.36
2018-11-09,2604.57
2018-11-10,2620.06
2018-11-11,2620.06
2018-11-12,2620.06
2018-11-13,2620.43
2018-11-14,2605.87
2018-11-15,2626.57
2018-11-16,2592.8
2018-11-17,2579.59
2018-11-18,2579.59
2018-11-19,2579.59
2018-11-20,2596.63
2018-11-21,2579.12
2018-11-22,2595.24
2018-11-23,2590.75
2018-11-24,2580.23
2018-11-25,2580.23
2018-11-26,2580.23
2018-11-27,2622.89
2018-11-28,2630.21
2018-11-29,2611.15
2018-11-30,2627.47
2018-12-01,2610.66
2018-12-02,2610.66
2018-12-03,2610.66
2018-12-04,2623.78
2018-12-05,2647.42
2018-12-06,2655.8
2018-12-07,2653.01
2018-12-08,2670.58
2018-12-09,2670.58
2018-12-10,2670.58
2018-12-11,2655.33
2018-12-12,2668.88
2018-12-13,2658.2
2018-12-14,2650.86
2018-12-15,2646.69
2018-12-16,2646.69
2018-12-17,2646.69
2018-12-18,2654.04
2018-12-19,2679.82
2018-12-20,2694.11
2018-12-21,2718.36
2018-12-22,2749.77
2018-12-23,2749.77
2018-12-24,2749.77
2018-12-25,2773.92
2018-12-26,2787.61
2018-12-27,2793.35
2018-12-28,2814.75
2018-12-29,2854.88
2018-12-30,2856.68
2018-12-31,2854.88
2019-01-01,2854.88
2019-01-02,2854.88
2019-01-03,2854.88
2019-01-04,2854.88
2019-01-05,2854.88
2019-01-06,2854.88
2019-01-07,2854.88
2019-01-08,2854.88
2019-01-09,2854.88
2019-01-10,2763.32
2019-01-11,2778.16
2019-01-12,2781.36
2019-01-13,2781.36
2019-01-14,2781.36
2019-01-15,2794.74
2019-01-16,2780.79
2019-01-17,2769.98
2019-01-18,2764.26
2019-01-19,2740.48
2019-01-20,2740.48
2019-01-21,2740.48
2019-01-22,2728.27
2019-01-23,2748.89
2019-01-24,2740.2
2019-01-25,2715.63
2019-01-26,2718.93
2019-01-27,2718.93
2019-01-28,2718.93
2019-01-29,2757.73
2019-01-30,2790.6
2019-01-31,2790.18
2019-02-01,2778.97
2019-02-02,2788.13
2019-02-03,2788.13
2019-02-04,2788.13
2019-02-05,2764.42
2019-02-06,2770.04
2019-02-07,2772.87
2019-02-08,2773.37
2019-02-09,2784.73
2019-02-10,2784.73
2019-02-11,2784.73
2019-02-12,2758.22
2019-02-13,2771.12
2019-02-14,2768.63
2019-02-15,2793.31
2019-02-16,2826.58
2019-02-17,2826.58
2019-02-18,2826.58
2019-02-19,2819.87
2019-02-20,2829.88
2019-02-21,2849.42
2019-02-22,2813.17
2019-02-23,2785.12
2019-02-24,2785.12
2019-02-25,2785.12
2019-02-26,2788.69
2019-02-27,2800.7
2019-02-28,2804.29
2019-03-01,2807.83
2019-03-02,2771.83
2019-03-03,2771.83
2019-03-04,2771.83
2019-03-05,2723.44
2019-03-06,2718.46
2019-03-07,2721.38
2019-03-08,2728.21
2019-03-09,2728.21
2019-03-10,2728.21
2019-03-11,2728.21
2019-03-12,2753.97
2019-03-13,2742.36
2019-03-14,2759.07
2019-03-15,2731.86
2019-03-16,2739.87
2019-03-17,2739.87
2019-03-18,2739.87
2019-03-19,2714.04
2019-03-20,2705.44
2019-03-21,2692.86
2019-03-22,2699.61
2019-03-23,2688.11
2019-03-24,2688.11
2019-03-25,2688.11
2019-03-26,2735.93
2019-03-27,2713.44
2019-03-28,2737.6
